# ProcessID, ArrivalTime, CPUBurst, IOBurst, Priority
0,23.463404498842955,63,8,3
1,53.73980825409684,84,13,3
2,54.039965399956934,71,9,4
3,101.29282111983736,72,5,1
4,118.21114962769707,64,12,3
5,142.10073298852518,84,29,1
6,144.37819248782043,62,6,4
7,286.53984394678014,85,19,2
8,304.1643929984379,84,16,4
9,338.1773614067075,70,5,1
10,352.9728888420343,61,18,2
11,393.9318122812401,96,5,2
12,467.612268856907,91,7,4
13,469.3140982843416,82,13,5
14,484.82802216044126,73,12,4
15,500.1481378396971,95,12,5
16,503.87379344056546,88,23,1
17,549.5651393996786,93,28,2
18,555.1575052302225,84,13,5
19,620.393789197887,94,20,3
20,661.1905260245708,84,26,5
21,702.1943747442914,78,24,3
22,738.9839419388634,74,7,1
23,756.869835439755,79,17,5
24,770.3369411491649,102,10,3
25,829.3369306646339,72,27,2
26,911.5443540242285,93,25,4
27,937.9363938010939,84,27,2
28,943.5104433280828,90,11,3
29,970.8528846374307,76,25,1
30,988.1764373236604,81,17,1
31,994.3840195772823,61,13,3
32,1013.5191901440737,108,14,1
33,1027.6458149529553,82,11,2
34,1089.2867394423579,73,13,1
35,1102.6930276071039,78,8,4
36,1131.6907246017693,112,7,3
37,1144.8641457984736,98,25,5
38,1194.0251873865886,88,7,1
39,1202.168172769024,112,17,5
40,1299.7229106788316,63,22,3
41,1320.4366345997723,69,7,1
42,1378.710626378386,89,8,4
43,1444.4420665018947,77,10,2
44,1458.9163685030744,95,18,4
45,1473.111311377414,87,29,4
46,1513.8554769793188,77,11,3
47,1577.723271486356,82,27,1
48,1628.3655346783853,83,5,1
49,1682.458119364512,92,5,2
50,1715.2390421779457,82,9,4
51,1728.5411879526403,79,13,4
52,1750.8223002950565,93,12,4
53,1785.546628030961,94,20,5
54,1818.348846713769,77,13,1
55,1861.0077951320793,93,17,5
56,1874.0802700595548,121,24,1
57,2134.6116699491067,79,16,5
58,2241.4906348136756,89,19,4
59,2336.869350858971,50,12,5
60,2346.5923197057073,78,14,2
61,2483.564673540352,53,22,2
62,2530.726535775886,95,23,1
63,2537.3450951246077,80,22,5
64,2554.5850910681456,56,20,4
65,2589.804661846645,72,17,5
66,2599.800574347348,77,6,3
67,2619.6241203568825,69,14,2
68,2647.8548710206223,61,8,5
69,2738.2968984323134,98,26,1
70,2739.9031749641395,72,8,1
71,2826.9749743078582,96,11,4
72,2874.7609809328246,115,20,4
73,2881.121135733584,107,29,2
74,2900.5009857052987,70,15,2
75,2901.2838804770736,92,29,1
76,2959.3177811092214,56,7,1
77,3012.96951748484,74,11,5
78,3078.9508702437615,111,15,4
79,3119.7398243511548,95,8,1
80,3139.918374352307,90,13,5
81,3164.41683072916,88,20,5
82,3272.877151088173,80,18,5
83,3280.892643438365,91,6,2
84,3281.34345363337,89,19,2
85,3323.5915608888076,81,8,5
86,3362.440718028816,77,29,2
87,3373.5767051799535,88,11,4
88,3378.3112667740816,72,12,2
89,3435.224487806218,83,13,3
90,3451.5541733419814,85,20,5
91,3452.9987388565373,69,15,5
92,3468.566693115337,88,25,1
93,3533.772740778544,69,8,1
94,3607.8977251671795,88,26,1
95,3663.9474668990783,76,23,3
96,3668.441875940336,80,25,5
97,3780.9395257272963,93,14,4
98,3939.153113845012,73,28,4
99,3981.5998645527634,94,20,5
