# ProcessID, ArrivalTime, CPUBurst, IOBurst, Priority
0,1.9237024888220946,28,71,5
1,32.36390832442297,37,128,5
2,45.64099193146712,20,94,7
3,60.78945139756162,14,120,9
4,88.66861094158187,13,58,8
5,89.51092179051594,21,132,10
6,92.17065116446273,7,108,1
7,134.46535566174998,20,73,7
8,219.3754787920397,14,58,6
9,243.4213188841846,30,74,3
10,245.3576041594376,17,96,10
11,272.0165259850032,19,126,9
12,299.26809922825004,11,90,1
13,300.73058597383414,26,102,5
14,366.0574021250382,21,57,3
15,389.7758471256247,20,57,9
16,393.88757630484264,12,123,10
17,453.07992011721865,32,139,8
18,472.35866057477955,13,96,10
19,477.2115805673319,15,76,5
20,550.2992024504514,5,131,3
21,584.5798902273455,22,144,5
22,603.0080803918274,25,136,5
23,603.5344163373302,18,87,1
24,616.092768333585,15,132,1
25,652.4438009293972,31,96,3
26,654.8739924297694,22,124,3
27,670.2130318528278,35,126,5
28,698.3005611254171,9,70,1
29,759.6044757288341,14,110,1
30,781.276590783465,7,61,10
31,794.7896854101019,30,97,3
32,808.6861972084703,21,106,9
33,825.8298111422363,29,98,7
34,853.1411490532518,31,71,6
35,872.2081814058257,27,148,2
36,889.8279475132989,10,140,4
37,904.8569772819012,5,95,7
38,918.8300443808363,27,95,1
39,931.5500556199106,25,75,8
40,931.9389239010163,7,70,3
41,946.4119464277644,29,96,6
42,969.9245623527943,24,91,3
43,983.4818643517432,12,147,10
44,988.0681655002815,15,84,6
45,989.8577181572074,28,62,9
46,997.8008665957012,10,59,9
47,1020.281246396244,10,101,1
48,1026.483536862573,24,68,8
49,1039.2532512933724,26,111,7
50,1054.1543862147832,17,64,3
51,1078.9898374991205,21,139,2
52,1089.862864921671,7,76,5
53,1093.0248008462652,21,106,1
54,1097.7511387124725,13,139,4
55,1109.8479384461577,17,85,9
56,1122.8007284369778,20,108,8
57,1139.6636692530824,13,106,10
58,1145.675243605234,31,107,8
59,1158.7929740614588,9,83,9
60,1163.415890575136,14,68,8
61,1208.4150289871184,16,58,3
62,1208.3682185443413,21,141,6
63,1281.831391741697,27,99,6
64,1303.0911919736357,20,107,3
65,1339.475229328469,26,70,10
66,1346.8217562623847,22,74,1
67,1364.863993148587,5,78,5
68,1378.1086044382755,18,109,6
69,1386.2076720276084,23,63,7
70,1401.9222992169368,25,58,5
71,1401.0542916111292,11,61,8
72,1419.6332596896425,18,135,2
73,1421.654570836722,21,123,9
74,1425.5883088225385,25,122,8
75,1460.1983436402445,18,125,3
76,1463.588893131199,24,102,4
77,1470.6016960737088,28,108,2
78,1503.9216532569615,5,96,6
79,1518.521059007378,11,93,1
80,1523.2848506199414,18,104,8
81,1528.2019967683734,26,104,6
82,1584.2123336786442,8,63,1
83,1599.2482771609805,29,139,4
84,1720.4328166140228,26,127,1
85,1720.6821507971567,28,106,10
86,1733.623640473321,16,103,4
87,1745.212927257639,22,110,8
88,1748.2484357984083,26,122,3
89,1771.6800341817523,12,104,5
90,1806.0660303006148,19,72,7
91,1818.3981501264232,22,144,10
92,1835.648892182171,39,51,4
93,1885.2046177123505,21,129,5
94,1909.5679490678503,22,110,6
95,1910.6094790985358,10,60,9
96,1961.9575242610824,12,148,4
97,1963.6629191943412,18,142,6
98,1977.631027719373,6,55,9
99,1981.6028549824314,32,128,10
