# ProcessID, ArrivalTime, CPUBurst, IOBurst, Priority
0,12.171416897705061,67,92,2
1,30.80394086853815,5,53,1
2,56.53418673842118,59,24,5
3,129.89878205758438,19,42,6
4,136.45758001509589,51,97,9
5,140.8284071293054,20,47,8
6,160.92640596974678,36,77,8
7,228.49944570434891,52,28,1
8,229.11703025573016,101,15,3
9,247.11503950880865,27,57,1
10,262.3629460382476,26,26,7
11,349.62735127794053,54,43,10
12,417.3164134652554,78,98,2
13,477.5207770396311,52,46,9
14,484.5297892160012,64,11,6
15,496.43235640682866,27,61,3
16,527.7309726676173,42,31,8
17,576.3286688329284,45,96,4
18,609.0863033521379,36,90,7
19,639.0914912597514,31,76,5
20,639.8067160567296,56,47,2
21,711.4470938649216,24,66,10
22,763.3074844689886,43,84,5
23,778.7990811783943,48,59,2
24,837.213124538785,42,60,7
25,885.261433617897,55,48,3
26,906.551343977608,67,46,9
27,910.5022325649214,71,85,4
28,914.2564549163586,55,71,6
29,987.7066558308068,62,20,4
30,1007.6800787856075,47,54,7
31,1010.380911877003,36,22,9
32,1019.2977647312426,31,66,5
33,1024.7846608591565,66,92,10
34,1039.5446476042157,41,41,6
35,1079.1861727127189,79,17,4
36,1123.2191545031828,66,74,8
37,1148.069305921171,47,52,8
38,1230.8576494253891,32,12,4
39,1235.3026121810099,64,85,1
40,1255.5771786807857,16,79,5
41,1267.6653885573062,69,41,1
42,1287.525106799892,37,32,3
43,1289.4286674090158,86,10,3
44,1298.529608449641,14,18,1
45,1302.4139134645857,72,95,7
46,1324.100477304168,63,78,5
47,1359.356615084246,75,86,9
48,1429.104059925585,77,14,10
49,1430.2067530361614,70,73,7
50,1650.3181006457032,24,38,5
51,1689.3939570371558,102,27,8
52,1795.2740976786677,49,87,7
53,1813.2169948404041,63,57,7
54,1814.1312938580672,21,20,2
55,1878.884265788573,60,57,10
56,1916.7040931166114,46,58,6
57,1927.5148882112048,41,66,10
58,1989.7856233690795,28,99,7
59,1995.1544277391488,5,44,3
60,1997.1780790502678,101,34,9
61,2040.8659133101767,36,47,7
62,2062.176939353215,12,86,2
63,2069.9818349787847,44,13,1
64,2141.3516157599643,30,96,5
65,2187.3017834562675,44,18,6
66,2308.0774842915516,54,91,2
67,2313.4828716777038,68,99,8
68,2398.800279944817,73,56,10
69,2399.442491177392,82,44,9
70,2405.1900039066363,37,15,7
71,2469.56962910078,73,93,10
72,2491.335203842415,52,54,1
73,2496.013386543805,15,83,6
74,2525.2603203694725,5,34,9
75,2526.3617432924207,32,86,10
76,2575.7456240920083,63,17,8
77,2583.7366135124594,90,10,5
78,2584.5004101932445,61,19,5
79,2726.943747093624,50,15,3
80,2778.2344373883343,76,60,1
81,2841.267343063211,27,81,8
82,2849.4424736904616,44,40,9
83,2928.8165477659704,44,19,6
84,2934.292812925387,70,10,5
85,2974.8197640948224,48,24,4
86,2998.3702034048206,33,27,1
87,3022.6188033697945,67,20,2
88,3052.1541258382467,79,19,7
89,3075.378580572097,54,96,5
90,3078.2445899299582,53,16,1
91,3122.218940586524,58,73,6
92,3134.7340739453407,40,88,4
93,3165.2874078802497,52,63,7
94,3167.03635942098,41,83,10
95,3167.0309003037196,72,24,2
96,3342.5458628497095,21,24,7
97,3394.4473414335143,6,36,2
98,3438.4607458396117,40,88,8
99,3454.986704175102,42,94,5
